ACME,ADAX,ALTU,APAC,ARNE,BEAV,BESS,BIXB,BLAC,BOIS,BOWL,BREC,BRIS,BUFF,BURB,BURN,BUTL,BYAR,CAMA,CENT,CHAN,CHER,CHEY,CHIC,CLAY,CLOU,COOK,COPA,DURA,ELRE,ERIC,EUFA,FAIR,FORA,FREE,FTCB,GOOD,GUTH,HASK,HINT,HOBA,HOLL,HOOK,HUGO,IDAB,JAYX,KENT,KETC,LAHO,LANE,MADI,MANG,MARE,MAYR,MCAL,MEDF,MEDI,MIAM,MINC,MTHE,NEWK,NINN,NOWA,OILT,OKEM,OKMU,PAUL,PAWN,PERK,PRYO,PUTN,REDR,RETR,RING,SALL,SEIL,SHAW,SKIA,SLAP,SPEN,STIG,STIL,STUA,SULP,TAHL,TALI,TIPT,TISH,VINI,WASH,WATO,WAUR,WEAT,WEST,WILB,WIST,WOOD,WYNO
2818404.43,2750291.23,2798351.46,2639883.04,2746582.37,2636405.14,2696457.83,2852274.58,2707815.35,2408995.73,2715510.7,2669762.95,2768716.18,2843744.33,2742174.88,2864321.95,2827701.69,2700949.26,2747666.91,2766338.59,2730527.16,2841112.41,2847688.12,2775412.78,3109081.72,2924352.79,2830842.85,2758971.62,2824158.71,2711693.7,2687626.45,2908730.57,3175509.79,2743389,2812515.72,2577009.29,2689460.67,2650183.37,2853479.21,2754029.68,2558888.86,2596084.51,2505806.22,2866112.76,2780309.73,3030474.03,2436999.54,3369737.96,2712835.4,2828781.42,2874051.68,2612741.96,2647132.57,2943907.18,2746968.46,2687688.94,2665901.52,2939019.66,2724076.11,2999757.24,2607644.22,2914837.22,2841721.8,2690178.73,2907277.51,2884051.8,2626161.97,2699445.48,2681995.4,2813707.62,2873377.04,2638054.52,2737847.5,2867485.27,2793694.55,2943052.67,2721255.98,2726394.7,2909815.12,2822976.71,2779752.07,2599652.55,2758379.27,2762087.33,2948243.22,2939776.67,2644840.13,3097473.51,2872884.06,2891240.5,2786977.46,2567727.59,2553263.77,3378501.2,2930860.78,2846319.99,2755661.42,2642253.55
17005769.78,16396072.09,17329563.54,17187615.93,17806292.49,17804084,17518632.53,16122604.95,16206143.44,18918056.46,16205327.82,16817416.34,16184907.37,17463741.07,16268825.87,16585053.55,17533074.79,16750253.9,17723718.46,16216479.6,16160868.99,17181342.4,17719707.56,16689666.48,15621924.72,15774780.11,15849748.6,16048654.14,16479758.25,16850390.07,17663192.98,15886123.95,16615876.59,16234855.44,17348363.63,17123252.66,18143533.35,16683091.69,16253659.04,17082185.01,17389636.15,18204727.05,18251164.76,16312493.25,15958120.66,15835461.02,18918231.13,16850058.33,16915869.38,16074448.24,16519474.05,17651885.3,16616662.81,16964875.3,15849593.02,16394466.55,17252403.62,15902250.35,16779180.3,14895293.15,16377978.01,16805687.18,16147116.04,16173483.65,16153215.2,15804613.92,16440744.92,16363058.59,16491059.61,15817138.06,17103645.23,16527680.21,17507918.74,17322045.35,15871108.48,17127772.43,16529682.88,16070228.6,17443416.63,16586654.66,15864294.64,16273705.44,16050056.22,16840007.27,16019222.94,15737027.13,17951957.76,16102545.22,15878178.69,16777248.67,17118264.83,17212484.3,17270948.42,15521505.38,16125926.14,15821630.91,17639154.48,16242237.64
20274.93114,19881.9562,20002.83585,20359.87298,20984.68212,21445.70461,20535.83672,20219.06197,19297.32352,21600.2166,19528.16758,20354.88435,20250.79666,20624.06867,20381.43232,19219.40701,20444.21864,20526.36947,20590.59982,19883.91305,19230.57229,20382.40945,20561.03492,19860.28893,18632.11859,18944.37991,20364.91107,20096.31064,19360.04783,20068.13459,20557.87316,19538.41921,19427.81288,19967.40234,20721.7484,20169.63945,20838.58501,20544.53231,20531.59997,20136.24618,20270.89449,20814.32283,22341.93726,19598.22203,19339.9475,20679.62225,20826.63238,18459.0077,20229.80209,19181.63647,19529.97497,20704.79043,20380.70381,20529.48897,19923.3339,19752.45053,20149.85007,20127.34963,19999.81489,44798.86793,20501.54556,19869.77797,20313.27275,20151.53282,19910.48603,20621.47056,19692.44525,19709.51361,19968.82762,20271.65552,19846.49506,20450.28752,20162.52187,20008.43417,20284.50106,20320.59164,20006.21843,20450.08043,20501.1066,20044.67095,19623.40114,20363.09308,19755.63419,19809.20483,20692.08316,19356.62919,21379.14769,19304.7448,19826.16724,19832.45201,20355.76216,20073.14229,20031.46303,18719.72738,20230.35693,20095.2387,21169.09066,20460.09132
43601.20739,45955.79152,37214.11027,43244.11889,39857.76953,36931.60618,41113.38214,46344.3235,42581.62992,30136.4084,46293.70533,43515.73207,46176.69638,38904.32488,43220.58835,42885.20749,40410.07568,45108.07443,41399.77236,46054.46234,45529.83369,42402.38021,40088.88316,43139.68616,46471.42685,47751.9436,45321.09328,44242.82737,45293.63685,43496.41872,37748.10906,45829.80776,39036.40623,44704.23929,40899.14,42581.27459,33110.86855,44811.72814,46512.79178,42478.2913,39907.10761,38061.20832,34564.16579,46707.51248,44644.6137,44304.47193,38178.34798,40996.393,42748.82092,46050.76364,44890.0378,38785.98611,45530.07994,40243.3606,45724.24527,41175.01569,42438.40749,44854.50283,43846.62899,16586.91258,43665.8609,43119.9006,43611.73663,45529.78598,46017.21138,45244.05408,44261.22415,44815.81433,45075.79525,43984.87486,40384.71372,44362.75367,39135.51977,43416.31562,45255.84421,39912.95944,46017.73871,45767.40538,36606.57975,45633.06763,45642.87344,44377.01851,46356.33434,45595.98104,45652.36695,46460.01703,38965.92777,44076.36281,43848.07461,44947.04502,42763.45955,41584.27006,41368.61039,43904.66297,45067.86942,44540.27848,41379.9466,45026.1416
34101.67675,38087.46888,18450.22805,35849.54173,31814.05579,35633.12071,30894.41862,38444.19262,39242.56423,37436.48524,37478.17684,37957.98298,37912.98615,33689.52408,43454.97961,31570.6102,24767.75292,37751.11123,29339.54228,36431.6915,39648.52633,33438.04894,26316.94617,34571.51318,28575.8102,29641.76479,28208.84263,40249.49525,32733.15879,33564.01433,24770.38927,32803.76407,30786.16975,44116.5175,30925.94655,33996.35324,36465.03617,37721.05948,36109.02419,31107.88643,27045.67653,23098.18388,39065.02447,-15814.05933,-21560.96375,30217.50311,28981.78129,34862.08753,36023.12741,34331.04619,34521.061,21698.19817,39760.47578,31058.17886,33477.79751,37825.42452,36337.85929,33900.22392,38319.91442,35103.89408,43519.88271,36137.38282,39130.05329,38779.16718,38649.88405,36275.48086,35941.29213,42508.4435,40969.89054,34540.26581,29790.28791,40125.8503,22103.65763,34719.38546,29729.7298,27255.02571,38592.27257,40900.4555,34096.68367,37816.72901,30204.0226,39047.35205,36163.93904,37422.59357,32202.37217,-19167.47668,25352.41728,36034.45308,37326.9993,38133.50059,32577.19585,32540.9977,31338.9356,29153.28046,27836.26431,-19970.22684,30178.54231,42145.826
10181.40906,-1996.673858,23291.82885,12844.58519,28393.73033,31838.32197,22446.81134,32815.773,29116.35704,37875.57283,-3342.851011,29953.48287,30122.84735,30062.20477,31914.27162,-20548.10523,26795.21659,1365.466012,27398.08761,-6056.370873,6519.98926,27853.68423,26815.68208,10287.44783,-16457.14354,-17384.91171,35214.33678,35280.91669,-10054.37728,14411.81676,20591.49266,32364.11186,25102.91431,33308.5703,31423.41236,16328.08973,33353.95127,12132.52441,34518.50998,17554.95203,18559.57005,-26149.34064,35702.05047,29501.46686,32140.01173,36843.65805,39292.3116,26595.30532,23015.46411,-10830.8641,-17949.09578,25409.73938,28862.16557,25536.97133,-10001.04978,22640.95515,15683.16771,38655.57679,13254.46236,-20480.46678,32294.86291,10246.63548,36720.27808,30385.09039,29604.0775,29917.01981,2794.70524,14642.01349,30149.93689,36158.84405,23377.83769,15634.8171,25859.28957,-16477.50434,-14078.39724,25586.25557,3576.421063,32134.27526,25046.87376,7583.170055,-12530.53763,29406.48729,-7082.213499,-442.1206378,35891.84163,27784.6489,17240.1099,-3673.75267,37840.60829,6739.123547,20659.88947,-16827.43575,20280.79187,36220.47162,-15714.63264,25436.15023,29982.12347,31124.46759
-6140.094221,-5453.597528,-22546.46102,-6222.155252,19077.15154,22362.62945,25984.46874,12232.96982,18078.60228,17495.44062,-701.3301782,19221.90058,8441.759993,21359.85148,17061.04568,-1169.307153,25323.93073,-6095.955027,27872.00669,-8248.460524,27661.97909,31146.46238,19983.77266,-3250.482084,-4428.60224,31017.93891,-14480.83708,21060.58487,-18827.80768,25917.34933,24030.65997,-8186.05443,31050.89038,19359.95553,25362.77164,-3845.364032,-18702.7988,8902.014358,8784.663185,25488.1861,23626.83781,25604.68255,20976.89701,-15785.64079,21079.68872,18266.24815,19564.84368,6272.299893,28768.24591,-12987.8495,-3547.674412,-23120.85174,11899.81074,29387.55611,30352.0225,30868.57639,-11505.06136,22277.18262,24804.59757,25151.75361,20686.11566,-5186.881131,18374.97,12393.94089,-1489.00415,7031.564971,-7335.252858,30044.33857,9901.366502,15596.20676,27238.98992,30208.89008,23460.83743,1990.426459,33803.96787,26132.11856,27401.82133,16996.19074,18017.77538,4652.303365,32216.5878,11893.72896,28991.52341,-9592.173394,-9859.120287,34008.59478,-23098.97837,-13095.82772,20394.55088,-3428.139176,25676.24307,4462.424511,26535.36159,-14469.68637,30202.95377,33051.43491,20455.37226,17228.22099
24556.30078,27311.60022,23757.99403,24686.52524,12685.66398,35203.33924,646.7117896,-764.1355639,18540.9712,-17714.78039,58.15420405,15584.63532,2230.760871,18233.75345,13812.97543,-5957.601734,3051.070618,26440.8586,10534.75066,26705.76829,-733.0514349,19405.07244,-21469.80969,504.0791181,28156.43248,-13417.38184,10455.98727,-3952.532458,27494.03447,4125.234216,-21807.04482,4289.743189,14333.87322,-1227.781196,20085.24015,25028.68436,18570.23459,27787.9068,-4048.069934,2634.73008,-21222.45983,19675.33137,31651.12267,31089.24521,-14728.83259,-9356.054503,-11615.88058,-9949.109513,14373.25706,28041.17564,-5606.000071,24488.24508,12003.66871,21660.94832,-2890.356518,18475.34553,23052.12437,-4468.582161,-1759.558342,-8114.983211,16181.04054,437.3133722,-3514.220138,4726.557286,3670.302913,-2883.048922,-2021.97476,370.095326,9921.871694,-3598.663049,8455.094056,14177.97635,-21429.53508,-6399.279394,5518.682819,14341.94032,2606.472954,-4565.474938,9057.490218,25686.13962,3706.873036,10861.42381,-3660.543478,-6373.170236,11807.46912,-3690.558414,-13308.84154,-5969.455452,-5793.098847,-5111.089785,8280.104268,24268.71862,2126.959247,11917.32004,-1599.114641,1208.401767,21316.79624,-2388.643536
1201.542416,-3480.65665,-11272.82423,1114.317044,-18900.03553,6589.294624,-19881.35617,-6046.975169,13083.75556,-10514.25684,26500.93934,13561.51217,-395.7891306,35343.48633,2310.811535,-17761.1542,-19511.56597,-2791.893815,20817.70527,-7424.85023,3998.679668,24526.34661,5426.47363,22622.15988,-9200.143558,-14025.36315,-11433.7366,6968.876446,-4942.210259,6550.917527,-1169.250766,-6307.309348,18594.67256,11667.31245,31331.3875,4943.148366,-2810.067678,4340.170708,-6177.84798,10083.38805,-4385.565819,-9051.033174,-15848.15789,-7457.411971,-2970.370712,-6401.836651,-16944.99374,-5764.350282,16338.14005,-8090.30469,24904.6617,-8302.848441,3183.66559,35383.0512,-8304.653956,18274.52885,-20440.96755,-4855.710243,3238.08209,-11495.20502,7868.348612,22301.38309,2690.657304,-351.8512138,-6772.54667,-5583.814371,24800.73364,10632.88396,1399.525941,-6115.247059,13360.21437,6620.522365,-3449.573517,23959.75977,-12334.71477,22063.84101,66.01506413,4736.91425,33775.61984,4474.329955,-10142.93239,2766.263065,-5685.713466,25864.7891,-9577.862347,-13044.26407,24397.94486,-14932.28328,-976.486941,25141.65588,15891.79178,-6389.520468,10159.14563,-15335.15154,-4983.759871,-9547.472281,28959.14652,8975.954155
-12119.89611,-10859.7712,-18843.71666,-13458.37223,26211.3366,-14862.64813,10107.6182,3550.493146,6076.311965,21329.91094,-3628.068159,3419.436045,240.2414783,-3235.636678,7603.323281,23150.99653,11567.45189,-8934.550242,-18131.45754,-15719.66374,-1928.83609,-1416.023429,17356.70483,-5855.102885,-11168.4543,33793.92539,-473.3645693,37413.2431,-10817.48238,-1330.398878,-9319.504364,-320.3923847,-4626.571286,36285.22634,-1540.625354,-10791.83772,24932.20404,3237.073316,-3430.572835,-3534.985814,6608.703448,-14605.17447,1063.051861,-5646.290243,-4863.856155,35551.40054,19378.44646,-19277.77432,2330.363257,-8396.043416,-16912.71703,-16473.3549,3197.364492,2920.442727,-7968.937165,-281.5518428,780.3002188,40385.33357,-7380.107504,33753.7692,9146.15434,-9625.614481,37732.99232,3373.586381,-903.8011715,-7151.060893,-10514.32009,4007.222901,1066.119078,32651.93679,-6058.411239,6290.495457,-11330.26513,-19198.76546,2131.267269,1095.29325,-2589.748434,6585.1777,-13636.95006,-694.4867661,-1981.68521,5522.699412,-8931.319232,-14744.84336,-1281.742963,-9040.477721,-17386.12486,24425.50317,34800.10934,-8783.439033,944.4149593,-18391.22696,-6099.092436,1034.288326,-5681.959205,132.5223926,-5162.320452,7561.466254
-19290.43884,-15134.00491,2447.846966,-17590.6759,-11153.2494,-22854.11255,-7878.189715,-2135.169631,28130.12169,-22392.15081,-13824.68779,-14247.59332,-9655.307632,-20642.69572,29163.77082,-19959.27448,-6004.995874,-15782.19294,-9645.732546,-11112.3084,-16872.26378,-16781.40295,-7778.707107,-17448.61582,30763.0623,-5493.848665,2197.241559,7377.861087,-16034.47034,-12206.95312,11450.94502,-5603.855257,-15770.17002,9026.375768,-20397.31076,-17450.39399,-22236.90907,-13156.5202,2807.104865,-12540.94307,-12937.06127,1890.267314,-24768.64308,-18196.93956,-14821.35837,4031.708465,-20643.65147,-20883.11937,-15219.16627,-13975.06124,-15903.77595,4594.19334,29119.79616,-17766.97543,-8838.892662,-12811.73807,-21499.75551,4512.838463,-17895.97704,-14949.11159,28872.42414,-16349.59304,7010.380672,27724.14824,-9609.043397,-1093.597671,-18234.9774,27477.12644,26813.37987,4665.290294,-16535.37968,25644.59981,7233.207533,-17359.30163,-919.6260921,-22532.95342,-14776.30796,31848.44217,-5832.254933,-15901.16781,-6069.211669,25543.72338,-10663.19365,-17969.00416,30591.82977,32037.83602,-1951.154099,-14843.04896,-179.3599419,-19649.18247,-13161.93414,-15635.87112,-18169.66818,121.5200498,-6613.094186,-3047.61236,-23746.29337,35108.79556
-28232.60787,22869.86744,-16523.41504,-17216.50003,245.1548767,-6747.283756,-11800.54914,26932.38631,-13200.42973,-20024.60086,23836.31896,9042.261928,27647.50187,-15891.99677,-6295.852864,727.4062968,-11892.75938,112.4839558,-22272.46957,12316.90465,30086.20885,-36117.53327,-12039.29628,-4435.219044,-2487.243795,-14638.82157,17621.49171,-458.6765281,6078.526055,-7447.154583,-11116.43071,26151.83149,-9997.869911,-12358.31314,-13407.23843,-17491.60511,-5551.329436,3956.196841,25558.16605,-4640.672997,-9860.000593,-15675.30253,-8431.151442,28096.7952,29561.87379,3096.513564,-18789.28267,-36026.53522,-9980.13474,20762.76194,2162.271609,-14824.75637,8.368186352,-14616.69612,18561.63385,10154.92191,-14482.03395,4915.865482,-7860.09502,22571.62282,-14041.89317,-25593.27443,-2373.602532,-11090.20704,22865.48467,24190.34588,-8803.739237,4297.943651,-10765.57322,-1348.688798,-12452.63378,4072.250914,-8823.82614,-10122.78877,22998.40553,-4434.920203,22221.1557,-4519.303159,-20698.64485,871.9611361,18390.37304,-8839.222713,16345.02322,3360.840837,2234.749064,-4868.339019,-13844.69233,563.3230138,5169.540263,1277.937992,21485.7059,-18655.49986,-12062.55799,25365.68552,20616.44939,30652.46354,-14757.03885,-820.1286955
